"name","seq_nr","dutch","english"
"pages",1,"pagina’s","pages"
"pages_lang_nl",2,"nederlandstalige pagina’s","Dutch pages"
"pages_lang_en",3,"engelstalige pagina’s","English pages"
"pages_lang_de",4,"duitstalige pagina’s","German pages"
"pages_lang_None",5,"pagina’s met onbekende taal","pages in unknown language"
"pages_buss_belastingen",6,"pagina’s voor belastingen","pages for tax division"
"pages_buss_douane",7,"pagina’s voor douane","pages for customs division"
"pages_buss_toeslagen",8,"pagina’s voor toeslagen","pages for benefits division"
"pages_buss_None",9,"pagina’s voor onbekend organisatieonderdeel","pages for unknown organisational division"
"pages_cat_dv",10,"dienstverleningspagina's","service pages"
"pages_cat_bib",11,"bibliotheek pagina's","library pages"
"pages_cat_alg",12,"algemene pagina's","general pages"
"pages_cat_unknown",13,"pagina's met onbekende categorie","pages with unknown category"
"pages_cat_None",14,"pagina's met onbekende categorie","pages with unknown category"
"pages_type_bld-filter",15,"filterpagina’s","filter pages"
"pages_type_bld-dv-content",16,"topic pagina’s","topic pages"
"pages_type_bld-targetGroup",17,"voormalige startpagina's particulier, zakelijk, intermediairs en douane voor bedrijven","former starting pages for individuals, business, intermediaries and customs for business"
"pages_type_bld-landing",18,"landingspagina’s (bibliotheek)","landing pages (library)"
"pages_type_bld-bd",19,"pagina’s met belangrijke datums","pages with important dates"
"pages_type_bld-sitemap",20,"thema pagina’s (bibliotheek)","thematic pages (library)"
"pages_type_bld-overview",21,"overzichtspagina’s (bibliotheek)","overview pages (library)"
"pages_type_bld-cluster",22,"clusterpagina’s (bibliotheek)","cluster pages (library)"
"pages_type_bld-direction",23,"wegwijzerpagina’s (bibliotheek)","direction pages (library)"
"pages_type_bld-target",24,"doelpagina’s (bibliotheek contentpagina’s)","target (library content) pages"
"pages_type_bld-outage",25,"pagina’s met verstoringsberichten","pages with outages"
"pages_type_bld-newsItem",26,"pagina’s met nieuwsberichten","pages with news items"
"pages_type_bld-wrapper",27,"voorlooppagina’s","wrapper pages"
"pages_type_bld-iahWrapper",28,"voorlooppagina’s interactieve hulpmiddelen","wrapper pages for interactive tools"
"pages_type_bld-concept",29,"pagina’s met begrippen","pages with conceptual topics"
"pages_type_bld-faq",30,"pagina’s met vragen en antwoorden","pages with questions and answers"
"pages_type_None",31,"pagina’s van onbekend type","pages of unknown type"
"redirs",32,"url’s die worden doorverwezen","url’s that are redirected"
"redirs_301",33,"url’s die permanent worden doorverwezen","url’s that are permanently redirected"
"redirs_302",34,"url’s die tijdelijk worden doorverwezen","url’s that are temporarily redirected"
"redirs_server",35,"url’s die vanuit de server worden doorverwezen","url’s with server based redirection"
"redirs_client",36,"url’s die via een client-side refresh worden doorverwezen","url’s with client side redirection"
"redirs_301_slash",37,"url’s die permanent worden doorverwezen naar een url met slechts een slash verschil","url’s that are permanently redirected to a url with only one slash difference"
"redirs_302_slash",38,"url’s die tijdelijk worden doorverwezen naar een url met slechts een slash verschil","url’s that are temporarily redirected to a url with only one slash difference"
"redirs_server_slash",39,"url’s die vanuit de server worden doorverwezen naar een url met slechts een slash verschil","url’s with server based redirection to a url with only one slash difference"
"redirs_wcm-url",40,"wcm url’s die worden doorverwezen","wcm url’s that are redirected"
"url-aliases",41,"url’s die een alias vormen voor de wcm url","url’s that alias the wcm url"
"url-aliases_1x",42,"url’s met één alias","url’s with one alias"
"url-aliases_2x",43,"url’s met twee aliassen","url’s with two aliases"
"url-aliases_3x",44,"url’s met drie aliassen","url’s with three aliases"
"pages_h1_multi",45,"pagina’s met meerdere <h1> tags","pages with more than one <h1> tag"
"pages_h1_multi_bld-dv-content",46,"dv-contentpagina’s met meerdere <h1> tags","topic pages with more than one <h1> tag"
"pages_h1_multi_bld-filter",47,"filterpagina’s met meerdere <h1> tags","filter pages with more than one <h1> tag"
"pages_h1_multi_bld-landing",48,"landingspagina’s met meerdere <h1> tags","landing pages with more than one <h1> tag"
"pages_h1_multi_None",49,"onbekend type pagina’s met meerdere <h1> tags","pages of unknown type with more than one <h1> tag"
"pages_h1_no",50,"pagina’s zonder <h1> tag","pages without <h1> tag"
"pages_title_no",51,"pagina’s zonder of met lege <title> tag","pages without or with empty <title> tag"
"pages_title_dupl",52,"pagina's met niet unieke <title> tag","pages with non-unique <title> tag"
"pages_descr_no",53,"pagina's zonder of met lege <meta> description tag","pages without or with empty <meta> description tag"
"pages_descr_long",54,"pagina's met <meta> description langer dan 160 tekens","pages with <meta> description longer than 160 characters"
"ed-links_int",55,"redactionele links naar interne url’s","editorial links to internal url’s"
"ed-links_int_uniq",56,"unieke interne redactionele links","unique internal editorial links"
"ed-links_int_avg",57,"gemiddeld aantal interne redactionele links per pagina","average number of internal editorial links per page"
"ed-links_int_redir",58,"interne redactionele links die worden doorverwezen","internal editorial links that are redirected"
"ed-links_int_non-wcm",59,"interne redactionele links die niet verwijzen naar een wcm url","internal editorial links that do not refer to a wcm url"
"ed-links_int_orphan-pages",60,"pagina’s die niet intern zijn gelinkt (weespagina’s)","pages that are not linked internally (orphan pages)"
"ed-links_ext",61,"redactionele links naar externe url’s","editorial links to external url’s"
"ed-links_ext_uniq",62,"unieke externe redactionele links","unique external editorial links"
"ed-links_ext_avg",63,"gemiddeld aantal externe redactionele links per pagina","average number of external editorial links per page"
